Number,Date,Consignee,Weight (lb),Supplier,Carrier,Tracking Number,Pieces,Volume (ft3)
151741,28-04-2021,PARTNER UNIFORM GROUP,369.00 lb,ADAR MEDICAL,Fedex Ground,"9622001900009006284200786311082158- 9622001900009006284200786311080144
9622001900009006284200786311080902
9622001900009006284200786311079975
9622001900009006284200786311081130
9622001900009006284200786311082559
9622001900009006284200786311080409
9622001900009006284200786311079390
9622001900009006284200786311080155",9,19.92
151738,28-04-2021,ETERNITY,1248.00 lb,NEW BALANCE ATHLETICS,"FORWARD AIR, INC.",76315561,1,72.22
150960,22-01-2021,JONY HASKY,32,UNKNOWN SHIPPER,ups,1Z74F38R0395356637,1,2
150969,25-01-2021,PORTEX LOGISTICS,860,"TRANSMAR, INC",DHL AVIATION,992-1008 9343,1,0
